time_s,timestamp,P,PCP,PWp,PPmax,Eexp_J,Wbal_J,MPA_W,k_strain,SR_total,SR_CP,SR_Wp,SR_Pmax
93,2024-06-02 11:46:51,133,133,0,0,4479.378059688825,13667.621940311175,720.2865010150002,0.3865818873877165,51.41539102256629,51.41539102256629,0,0
94,2024-06-02 11:46:52,21,21,0,0,4463.017933181524,13683.982066818477,720.9100015105339,0.34551150036419115,7.255741507648014,7.255741507648014,0,0
95,2024-06-02 11:46:53,24,24,0,0,4419.357739814368,13727.642260185632,722.5739343772735,0.34492316731313427,8.278156015515222,8.278156015515222,0,0
96,2024-06-02 11:46:54,46,46,0,0,4376.848165106526,13770.151834893473,724.1940160363876,0.3506376713554312,16.129332882349836,16.129332882349836,0,0
97,2024-06-02 11:46:55,88,88,0,0,4340.005782530691,13806.99421746931,725.5981154351559,0.36392845626979653,32.0257041517421,32.0257041517421,0,0
98,2024-06-02 11:46:56,66,66,0,0,4313.445155231731,13833.554844768269,726.6103670381734,0.35512459289518405,23.438223131082147,23.438223131082147,0,0
99,2024-06-02 11:46:57,92,92,0,0,4281.85294705813,13865.14705294187,727.8143771320107,0.3631666895713034,33.41133544055991,33.41133544055991,0,0
100,2024-06-02 11:46:58,0,0,0,0,4256.586354665171,13890.41364533483,728.7773117933305,0.3316422305637101,0,0,0,0
101,2024-06-02 11:46:59,0,0,0,0,4210.070829878919,13936.929170121082,730.5500641459051,0.3300164488757289,0,0,0,0
102,2024-06-02 11:47:00,0,0,0,0,4164.06362182017,13982.936378179831,732.3034440485574,0.328408433557816,0,0,0,0
103,2024-06-02 11:47:01,1,1,0,0,4118.559175657572,14028.440824342428,734.0376632013679,0.327117988616332,0.327117988616332,0.327117988616332,0,0
104,2024-06-02 11:47:02,0,0,0,0,4073.7764786773237,14073.223521322676,735.7443757836977,0.3252527734925736,0,0,0,0
105,2024-06-02 11:47:03,0,0,0,0,4029.258680850931,14117.741319149069,737.4409927990024,0.3236968151146346,0,0,0,0
106,2024-06-02 11:47:04,0,0,0,0,3985.2273688034425,14161.772631196558,739.1190693632853,0.32215786008502806,0,0,0,0
107,2024-06-02 11:47:05,2,2,0,0,3941.6772262697996,14205.3227737302,740.7788080846314,0.32122490988181607,0.6424498197636321,0.6424498197636321,0,0
108,2024-06-02 11:47:06,78,78,0,0,3899.032687904413,14247.967312095587,742.4040333413406,0.34373366916106224,26.811226194562856,26.811226194562856,0,0
109,2024-06-02 11:47:07,0,0,0,0,3873.035949772173,14273.964050227827,743.3947945741756,0.31823661539418957,0,0,0,0
110,2024-06-02 11:47:08,0,0,0,0,3830.711823181337,14316.288176818663,745.007808623342,0.3167573288487325,0,0,0,0
111,2024-06-02 11:47:09,21,21,0,0,3788.8502101625177,14358.149789837482,746.6031958258446,0.3214856968151817,6.751199633118816,6.751199633118816,0,0
112,2024-06-02 11:47:10,9,9,0,0,3751.7851713722825,14395.214828627717,748.0157808717104,0.3166120021530327,2.849508019377294,2.849508019377294,0,0
113,2024-06-02 11:47:11,94,94,0,0,3712.6268802789355,14434.373119721065,749.5081418195343,0.3421235027905115,32.15960926230808,32.15960926230808,0,0
114,2024-06-02 11:47:12,35,35,0,0,3691.125988708141,14455.874011291859,750.3275619226015,0.3222213739600137,11.27774808860048,11.27774808860048,0,0
115,2024-06-02 11:47:13,26,26,0,0,3657.8378037603525,14489.162196239648,751.5962073576536,0.31830495362866057,8.275928794345175,8.275928794345175,0,0
116,2024-06-02 11:47:14,0,0,0,0,3623.052528570176,14523.947471429823,752.9219083727814,0.309499350355116,0,0,0,0
117,2024-06-02 11:47:15,36,36,0,0,3583.4601943256484,14563.53980567435,754.4308111315579,0.3186354219162007,11.470875188983225,11.470875188983225,0,0
118,2024-06-02 11:47:16,0,0,0,0,3551.338679494059,14595.66132050594,755.6549936221915,0.30699285251082953,0,0,0,0
119,2024-06-02 11:47:17,0,0,0,0,3512.5300265956316,14634.469973404368,757.1340295148764,0.305636436615117,0,0,0,0
120,2024-06-02 11:47:18,0,0,0,0,3474.1454705451024,14672.854529454897,758.5969026599993,0.3042948434886287,0,0,0,0
121,2024-06-02 11:47:19,0,0,0,0,3436.180376857041,14710.81962314296,760.0437896823536,0.3029679111497124,0,0,0,0
122,2024-06-02 11:47:20,0,0,0,0,3398.6301616911846,14748.369838308816,761.4748652765954,0.3016554793868347,0,0,0,0
123,2024-06-02 11:47:21,0,0,0,0,3361.4902912989896,14785.50970870101,762.8903022283364,0.3003573897392366,0,0,0,0
124,2024-06-02 11:47:22,0,0,0,0,3324.7562814762373,14822.243718523763,764.2902714350049,0.29907348547780177,0,0,0,0
125,2024-06-02 11:47:23,0,0,0,0,3288.4236970216175,14858.576302978383,765.6749419264809,0.29780361158613267,0,0,0,0
126,2024-06-02 11:47:24,0,0,0,0,3252.48815120123,14894.511848798771,767.0444808855034,0.2965476147418347,0,0,0,0
127,2024-06-02 11:47:25,0,0,0,0,3216.9453052189374,14930.054694781062,768.3990536678559,0.29530534329800445,0,0,0,0
128,2024-06-02 11:47:26,0,0,0,0,3181.790867692508,14965.209132307493,769.7388238223322,0.2940766472649191,0,0,0,0
129,2024-06-02 11:47:27,0,0,0,0,3147.0205941354798,14999.97940586452,771.0639531104812,0.29286137829192843,0,0,0,0
130,2024-06-02 11:47:28,0,0,0,0,3112.6302864446893,15034.36971355531,772.3746015261394,0.29165938964954197,0,0,0,0
131,2024-06-02 11:47:29,0,0,0,0,3078.6157923934,15068.3842076066,773.6709273147476,0.2904705362117135,0,0,0,0
132,2024-06-02 11:47:30,0,0,0,0,3044.9730051299694,15102.02699487003,774.9530869924567,0.28929467443831913,0,0,0,0
133,2024-06-02 11:47:31,0,0,0,0,3011.697862681994,15135.302137318005,776.2212353650264,0.2881316623578261,0,0,0,0
134,2024-06-02 11:47:32,0,0,0,0,2978.786347465875,15168.213652534125,777.4755255465146,0.28698135955015164,0,0,0,0
135,2024-06-02 11:47:33,0,0,0,0,2946.234485801742,15200.765514198258,778.7161089777658,0.2858436271297085,0,0,0,0
136,2024-06-02 11:47:34,0,0,0,0,2914.038347433676,15232.961652566324,779.9431354446945,0.28471832772863676,0,0,0,0
137,2024-06-02 11:47:35,0,0,0,0,2882.1940450551792,15264.80595494482,781.1567530963706,0.28360532548021766,0,0,0,0
138,2024-06-02 11:47:36,0,0,0,0,2850.697733839828,15296.302266160172,782.357108462907,0.28250448600246963,0,0,0,0
139,2024-06-02 11:47:37,0,0,0,0,2819.5456109770535,15327.454389022947,783.5443464731509,0.2814156763819232,0,0,0,0
140,2024-06-02 11:47:38,0,0,0,0,2788.7339152129985,15358.266084787001,784.7186104721821,0.28033876515757317,0,0,0,0
141,2024-06-02 11:47:39,0,0,0,0,2758.258926396389,15388.74107360361,785.8800422386211,0.2792736223050063,0,0,0,0
142,2024-06-02 11:47:40,0,0,0,0,2728.1169650293714,15418.88303497063,787.0287820017461,0.2782201192207024,0,0,0,0
143,2024-06-02 11:47:41,0,0,0,0,2698.3043918232534,15448.695608176746,788.1649684584249,0.2771781287065068,0,0,0,0
144,2024-06-02 11:47:42,63,63,0,0,2668.8176072591045,15478.182392740895,789.2887387898608,0.2930808460289461,18.464093299823602,18.464093299823602,0,0
